Country,Year,GDP_USD_Bn,RD_Pct_GDP,AI_Market_Size_USDm,AI_Startup_Investment_USDm,Total_Startup_Investment_USDm,AI_Readiness_Score,AI_Employment_Pct,Internet_Penetration_Pct,AI_Adoption_Rate_Pct,AI_Market_Pct_GDP,AI_Inv_Pct_Total_Startup
Bangladesh,2015,195.1,0.03,,,,,,12.9,,,
Bangladesh,2016,165.2,0.03,,,,,,18.1,,,
Bangladesh,2017,193.73,0.03,,,,,,21.5,,,
Bangladesh,2018,321.36,0.03,,,,,,25.6,,,
Bangladesh,2019,351.23,0.03,,,,,,30.4,,,
Bangladesh,2020,373.98,0.03,250,1.5,37.1,33,0.1,36.1,10,0.07711289328,4.043126685
Bangladesh,2021,416.3,0.03,350,7.5,75,42,0.5,38.91,15,0.08407398511,10
Bangladesh,2022,460.2,0.03,450,20,130,44,0.8,41.61,29,0.09778357236,15.38461538
Bangladesh,2023,437.4,0.03,650,13,72,46.04,0.9,44.5,35,0.1486053955,18.05555556
Bangladesh,2024,450.1,0.03,850,10,41,47,1.44,52,40,0.1888469229,24.3902439
Bangladesh,2025,460,0.03,1060,29,120,48,1.44,55,44,0.2304347826,24.16666667
India,2015,2103.6,0.69,1500,200,4000,,,26,,0.071306332,5
India,2016,2294.8,0.66,2000,250,4500,,,29.6,,0.08715356458,5.555555556
India,2017,2653,0.67,2500,350,10000,,,34.5,,0.09423294384,3.5
India,2018,2702.9,0.65,3000,500,11000,,,38,,0.1109918976,4.545454545
India,2019,2835.6,0.66,3000,700,14500,,,41,,0.1057977148,4.827586207
India,2020,2671.6,0.7,3000,400,11000,60,1.5,43,35,0.1122922593,3.636363636
India,2021,"3,167",0.7,7500,1108,24000,63,2,46,45,0.2380725645,4.616666667
India,2022,3385.1,0.7,11000,5200,35000,65,2.5,48.7,87,0.3249534726,14.85714286
India,2023,"3,638",0.67,14000,1100,17000,62.58,3,52.4,60,0.3943661972,6.470588235
India,2024,3909.8,0.67,9510,780,12000,64,3.5,55,65,0.2663865546,6.5
India,2025,4125.2,0.67,22848,643,11000,65,4,58,70,0.5873521851,5.845454545
Pakistan,2015,271.1,0.24,,,,,,18,,,
Pakistan,2016,278.7,0.25,,,,,,20,,,
Pakistan,2017,305,0.24,,,,,,22.2,,,
Pakistan,2018,312.6,0.23,,,,,,25,,,
Pakistan,2019,278.2,0.21,,,,,,27.5,,,
Pakistan,2020,263.7,0.17,200,10,83,35,0.3,30,8,0.07584376185,12.04819277
Pakistan,2021,346.3,0.16,300,35,352,38,0.5,33,12,0.08663008952,9.943181818
Pakistan,2022,374.7,0.16,400,55,355,40,0.7,36,18,0.1067520683,15.49295775
Pakistan,2023,338.2,0.16,550,15,75,42.2,0.9,38,22,0.1626256653,20
Pakistan,2024,371,0.16,750,5.5,22.5,43,1.1,40,28,0.2021563342,24.44444444
Pakistan,2025,380,0.16,949,3,11,44,1.2,43,33,0.2497368421,27.27272727
Sri Lanka,2015,80.6,0.1,,,,,,15,,,
Sri Lanka,2016,82.4,0.12,,,,,,22,,,
Sri Lanka,2017,87.4,0.13,,,,,,25,,,
Sri Lanka,2018,88,0.12,,,,,,28,,,
Sri Lanka,2019,84,0.12,,,,,,32,,,
Sri Lanka,2020,80.7,0.12,,2,10,,,36,<1,,20
Sri Lanka,2021,88.6,0.11,,5,20,41.12,,44,1-2,,25
Sri Lanka,2022,74.1,0.11,,8,30,36.23,,48,2-3,,26.66666667
Sri Lanka,2023,84.4,0.11,,5,20,41.89,,51,3-4,,25
Sri Lanka,2024,99,0.12,,3,15,45.29,,,~5,,20
Sri Lanka,2025,84-90,0.12,,4,20,44,,,6.2-6.6,,20
Nepal,2015,24.36,0.3,,,,,,18,,,
Nepal,2016,24.52,0.3,,,,,,21,,,
Nepal,2017,28.97,0.3,,,,,,24,,,
Nepal,2018,33.11,0.3,,,,,,29,,,
Nepal,2019,34.2,0.3,,,,,,33,,,
Nepal,2020,33.43,0.3,,0.5,5,24,,39,,,10
Nepal,2021,36.92,0.3,,1,8,26,,45,,,12.5
Nepal,2022,41.18,0.31,,2,12,30.75,,54,,,16.66666667
Nepal,2023,41.5,0.31,,1.5,10,30.77,,56,,,15
Nepal,2024,42.92,0.32,,1,8,,,,,,12.5
Nepal,2025,45.5 (IMF forecast),0.32,,1.5,10,,,,,,15
Bhutan,2015,2.19,,,,,,,40,,,
Bhutan,2016,2.36,,,,,,,47,,,
Bhutan,2017,2.5,,,,,,,54,,,
Bhutan,2018,2.58,,,,,,,64,,,
Bhutan,2019,2.74,,,,,,,74,,,
Bhutan,2020,2.5,,,,,28,,77,,,
Bhutan,2021,2.77,,,,,31,,86,,,
Bhutan,2022,2.9,,,,,38,,86,,,
Bhutan,2023,3.02,,,,,36.88,,88,,,
Bhutan,2024,3.1,,,,,38,,,,,
Bhutan,2025,3.41,,,,,,,,,,
Maldives,2015,"4,21",,,,,,,54,,,
Maldives,2016,4.57,,,,,,,60,,,
Maldives,2017,4.9,,,,,,,65,,,
Maldives,2018,5.3,,,,,,,71,,,
Maldives,2019,5.6,,,,,,,77,,,
Maldives,2020,3.8,,,,,26,,79,,,
Maldives,2021,5.4,,,,,37.47,,82,,,
Maldives,2022,6.2,,,,,33.54,,84,,,
Maldives,2023,6.6,,,,,31.71,,85,,,
Maldives,2024,6.9,,,,,31.4,,,,,
Maldives,2025,7,,,,,,,,,,
