,Observations,Mean,Std_Dev,Min,Max
GDP_USD_Bn,75.0,567.0446666666667,1071.708208354753,2.19,4125.2
RD_Pct_GDP,55.0,0.2645454545454546,0.22788738432098413,0.03,0.7
AI_Market_Size_USDm,23.0,3765.9565217391305,5655.797704996343,200.0,22848.0
AI_Startup_Investment_USDm,35.0,327.7142857142857,905.4080432544854,0.5,5200.0
Total_Startup_Investment_USDm,35.0,4444.045714285715,8139.549737848376,5.0,35000.0
AI_Readiness_Score,37.0,41.45594594594595,11.521810346627984,24.0,65.0
AI_Employment_Pct,18.0,1.4655555555555557,1.1176615410138429,0.1,4.0
Internet_Penetration_Pct,69.0,44.55826086956522,20.212225476073936,12.9,88.0
AI_Adoption_Rate_Pct,18.0,36.44444444444444,22.298040595063167,8.0,87.0
AI_Market_Pct_GDP,23.0,0.17841339126695652,0.1256009030959673,0.071306332,0.5873521851
AI_Inv_Pct_Total_Startup,35.0,13.969424509542856,7.746533542436997,3.5,27.27272727
