Variable,Coefficient,Std_Error,P_Value
Intercept,6.440273842545203,0.2281302400362564,2.4572445915237984e-175
C(Country)[T.India],3.0607473309964988,1.3975801618600943,0.028521809565966217
C(Country)[T.Pakistan],-0.12367253030910508,0.30808200877469094,0.6881055500092202
C(Year)[T.2021],0.24820119226721093,0.05914201454264242,2.7083432442091313e-05
C(Year)[T.2022],0.40609048860258934,0.0908650537476694,7.85272742357801e-06
C(Year)[T.2023],0.38124328760446513,0.11740930102432044,0.0011657504550411624
C(Year)[T.2024],0.49402845281380614,0.12854006016671612,0.00012135074687233504
C(Year)[T.2025],0.5568248276420675,0.14563825175243447,0.00013165503059246807
AI_Adoption_Rate_Pct,-0.00047066887261476564,0.0014496503354111154,0.7454251517808859
AI_Readiness_Score,-0.008768877853091939,0.007000621589261213,0.21035655504020367
AI_Market_Pct_GDP,-0.011153056720434318,0.136571666382818,0.9349135096791575
AI_Inv_Pct_Total_Startup,-0.004997532322823295,0.0038681430838391276,0.19636686232812206
Internet_Penetration_Pct,-0.00464652329362536,0.004138995771746447,0.2615985212492675
RD_Pct_GDP,-1.2362261279948044,2.233494342600422,0.5799250622148309
